claim_id,claim_notes,claim_pdfs,policy_number,state,reported_date,
CLM-2024-001,"Insured reports that on the evening of October 14th, 2024, a fire broke out in the electrical panel of their commercial warehouse located at 1234 Industrial Way. The fire department was called and arrived within 12 minutes. Firefighters noted significant arcing and scorching around the main breaker. The electrician's preliminary report indicates a short circuit due to aged wiring — the building's electrical system was last updated in 1987. Smoke and fire damage affected approximately 4,000 sq ft of storage area. Inventory estimated at $280,000 was destroyed. No injuries reported.",,,POL-78234,TX,15-10-2024
CLM-2024-002,"On November 2nd, 2024, the insured's retail location experienced flooding due to a burst pipe in the ceiling above the main sales floor. A cold snap the night before caused a 3/4-inch copper pipe to freeze and subsequently rupture. Water poured for approximately 45 minutes before a staff member discovered it and shut off the main valve. The floor, drywall, and approximately $95,000 in merchandise were damaged. Adjacent tenant spaces were unaffected. HVAC system sustained secondary damage due to water infiltration.",,,POL-91102,CO,03-11-2024
CLM-2024-003,"Claimant states that on September 28th, 2024, they discovered their commercial van had been broken into overnight in the company parking lot. The rear door lock was drilled out. Three laptop computers, a projector, and assorted tools (estimated value: $18,500) were removed from the vehicle. No witnesses. Security camera footage shows a dark-colored SUV entering the lot around 2:30 AM. Police report filed: case #PD-2024-8812.",,,POL-44556,FL,29-09-2024
CLM-2024-004,"On August 15th, 2024, Hurricane Delilah made landfall approximately 30 miles from the insured property — a beachfront restaurant. Wind speeds at the property were estimated at 95 mph. The roof sustained significant damage: 60% of roofing material was stripped. Two large plate glass windows facing the water were shattered by wind-driven debris. Interior sustained rain intrusion damage. The walk-in cooler compressor was damaged by a fallen tree limb. Estimated total loss: $340,000.",,,POL-23890,FL,16-08-2024
CLM-2024-005,"Insured reports a slip and fall incident occurring on December 5th, 2024. A customer, Mrs. Patricia Gomez (DOB: 1968-03-12), slipped on a wet floor near the entrance of the insured's grocery store. A mop bucket had been left in the aisle without adequate wet floor signage. Mrs. Gomez sustained a fractured right wrist and contusion to the hip. She was transported via ambulance to St. Mary's Medical Center. Ambulance and ER bills submitted: $12,400. Attorney retained by claimant.",,,POL-67234,CA,06-12-2024
CLM-2024-006,"On July 4th, 2024, a wildfire originating from adjacent state land spread to the insured property — a 15-acre vineyard and wine production facility. The insured attempted to defend with sprinkler systems but the fire advanced too quickly. The production facility (8,000 sq ft) was a total loss. Approximately 12 acres of vineyard were destroyed. Equipment including two fermentation tanks, a bottling line, and a forklift were destroyed. Loss estimated at $2.1M. Nearby property also affected but not part of this claim.",,,POL-55678,CA,05-07-2024
CLM-2024-007,"Claimant submits claim for hail damage sustained during the severe storm of March 18th, 2024. The insured property is a 20,000 sq ft light industrial building. Hail ranging from 1 to 2.5 inches in diameter was recorded in the area. The metal roof sustained widespread denting and some punctures near ridge vents. All 14 skylights cracked or shattered. HVAC rooftop units suffered external damage. Solar panels on the south face of the roof have multiple shattered cells. Preliminary estimate: $185,000.",,,POL-34901,OK,19-03-2024
CLM-2024-008,"Insured reports that on January 20th, 2024, a ransomware attack was detected on the company network at approximately 9:15 AM. IT staff immediately isolated affected systems. Approximately 2,300 files were encrypted. The attacker demanded $85,000 in Bitcoin. The company did not pay the ransom. Recovery involved a specialized cybersecurity firm. Total downtime: 11 business days. Business interruption loss estimated at $220,000. Forensic investigation indicates the intrusion vector was a phishing email opened by an employee.",,,POL-89023,NY,21-01-2024
CLM-2024-009,"On February 8th, 2024, the insured's restaurant HVAC compressor failed catastrophically. The unit overheated due to a refrigerant leak that went undetected. The compressor seized, and the resulting electrical surge damaged the connected control board. The restaurant was forced to close for 4 days during the coldest week of the year. HVAC contractor invoice: $24,500 for replacement. Business interruption loss (4 days × $6,000 average daily revenue): $24,000. Total claim: $48,500.",,,POL-12345,IL,09-02-2024
CLM-2024-010,"Structural collapse occurred at the insured's manufacturing facility on April 3rd, 2024. A section of the roof (approximately 2,400 sq ft) collapsed following three days of heavy snow accumulation. The local building inspector noted the roof had exceeded its rated load capacity of 25 lbs/sq ft — snow load at time of collapse was estimated at 38 lbs/sq ft. Three employees were in the affected area; two sustained minor injuries (treated on site), one was hospitalized with a fractured collarbone. Equipment and inventory below the collapse: estimated $410,000 loss.",,,POL-76543,MN,04-04-2024
